Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Local welfare - Dance Teacher - 2647,Dance Teacher,we are conducting the Bharatha Natiyam and folk dance and Kalari for the local &tribal children so we need the SP volunteers for those activities,Outreach / Local welfare,Tamil,Arts and Crafts / Dancer,Arts and Crafts / Dancer
Land Maintenance - Farming support - 2649,Farming support,"Vellaingiri Farm - Activities which involving taking care of trees and soil, like preparation and pouring of Jeevamritam and other manures, Spraying the leaves with organic pesticides to get rid of the bugs, Harvesting the fruits, Managing waterlines, plantations, preparing LAB(Lactic Acid Bateria) and spraying, etc",Land Maintenance,NA,Soft Skills / Fit for Physical Seva,NA
Local welfare - Administrative Activities (Back Office) - 2650,Administrative Activities (Back Office),we need to document our activity. we are doing variety of activities in the local village so we need documents all those activities,Outreach / Local welfare,Tamil,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Sadhanapada - Administrative Activities (Back Office) - 2651,Administrative Activities (Back Office),"Sahaya - meeting scheduling, facilitator and Meet SP team meetings. follow-up with facilitators, ensure feedback is updated. support Step out as needed",Sadhanapada,"Hindi / हिंदी,English (US)",Basic Computer Skills / Data Entry skills,"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Enthusiastic,Soft Skills / Soft-spoken and cordial"
Sadhanapada - Front Office Activities - 2652,Front Office Activities,"Sahaya - handling Step out operations. processing exceptions, calling, meeting participants. support with scheduling meetings as needed. learning to meet participants for Step out, firm but inclusive. need to know how to handle challenging conversations, remaining balanced and still able to convey what is needed",Sadhanapada,"English (US),Tamil,Hindi / हिंदी",Soft Skills / Strong Interpersonal skills (Coordinator),"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Enthusiastic,Soft Skills / Soft-spoken and cordial"
Local welfare - On ground Support - 2653,On ground Support,we are doing lots of field activities on ground. localwelfare department connects with local village people so we need more field volunteers for this activities,Outreach / Local welfare,Tamil,Emedia / Active on Social Media,NA
Sadhanapada - Artificial Intelligence (AI) Enthusiast - 2654,Artificial Intelligence (AI) Enthusiast,"Sahaya - looking at all Sahaya operations and workflows. seeing how to automate and simplify processes, come up with IT-based solutions if needed, AppSheet, scripts etc. seeing how to smoothen operations with other teams, if needed also training them on how to do it or supporting in creating automations for them. create/work on Sahaya SOPs",Sadhanapada,English (US),"IT / Devops Engineer,Corporate / Operations Manager",Soft Skills / Enthusiastic
Sadhanapada - Coordinating Activities - 2655,Coordinating Activities,"Sahaya - coordinating Sahaya operation. follow-up with participants, ensuring activities happen on time. planning and distributing activities, reporting to Poornangas in the team.",Sadhanapada,"English (US),Hindi / हिंदी",Soft Skills / Strong Interpersonal skills (Coordinator),"Soft Skills / Articulate in communication,Soft Skills / Enthusiastic,Soft Skills / Soft-spoken and cordial"
Volunteers Coordination Department - Video calls - Interviews - 2656,Video calls - Interviews,Screening LTV applications and conducting interviews,Volunteers Coordination Department,NA,Corporate / HR Manager,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial"
Volunteers Coordination Department - Project Manager - 2657,Project Manager,Nurturing LTVs and coordinating with various stakeholders,Volunteers Coordination Department,NA,Corporate / HR Manager,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Strong Interpersonal skills (Coordinator)"
Volunteers Coordination Department - Recruitment Officer - 2658,Recruitment Officer,"Screening of Poornanga Applications, able to handle projects and coordinating with teams",Volunteers Coordination Department,NA,Corporate / HR Manager,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Engineering / Engineering - Others,Soft Skills / Strong Interpersonal skills (Coordinator)"
Land Maintenance - Farming support - 2659,Farming support,Tree Care - Watering/Weeding/Mulching,Land Maintenance,Tamil,Environment / Agriculture/ Farmer,NA
Learning & Development - Session Designer - 2660,Session Designer,"1. Designing training sessions on various soft skills and technical skills.
2. Conducting research and studying material
3. Training the trainers and briefing of the design 
4. Ability to design for various areas and skills.",Learning & Development,"English (US),Tamil",Education / Curriculum / Instruction Designer,Media and Communication / Soft Skills Trainer
